,prim.1,prim.2,prim.3,prim.4,prim.5,prim.6,prim.7,mono.1,mono.2,mono.3,mono.4,mono.5
SNX10,451,466,1125,528,1301,668,238,3467,4809,1412,1347,2211
SNX21,1,35,94,51,90,89,25,244,118,105,160,241
SNX27,241,286,144,125,213,143,256,755,701,869,673,1248
SOAT1,513,320,618,878,444,855,479,3779,3594,1514,1720,1620
SOX12,562,625,372,277,251,295,717,72,75,121,239,69
SOX4,995,3470,1718,1476,4813,391,1116,61,436,171,562,1338
SP1,1304,1459,1292,2017,1531,1337,1537,2248,2767,2214,1966,2604
SP100,1365,987,1089,1180,900,1384,1728,1831,1679,2064,1885,3832
SP140,117,11,4,6,11,100,26,14,228,285,283,540
SP4,304,262,363,299,362,472,327,163,214,105,139,249
SPA17,10,31,83,12,44,42,37,163,87,130,204,24
SPATA24,47,39,55,39,53,73,43,38,30,27,26,47
SPG20,2066,2581,2886,2283,3646,2748,2562,1679,2895,1546,1253,1418
SPI1,1837,3035,954,1147,1292,1702,2298,6126,3510,8235,8085,19092
SPIN4,688,225,609,707,560,343,137,99,562,128,68,170
SPINT1,49,234,287,20,169,204,359,743,1118,2418,2024,1382
SPNS2,1154,3138,978,548,1625,1644,2018,3,283,133,35,183
SPRY2,481,676,786,1361,1222,110,65,381,105,329,54,407
SRGAP2C,50,37,18,6,22,15,23,50,92,39,73,94
SRGN,9961,13970,13335,13874,26849,20241,6765,93684,98016,104722,113424,22025
SSBP2,795,1425,915,1868,1900,1235,1961,418,610,364,449,579
SSH2,1113,1627,327,613,791,765,735,2458,2209,1148,2166,2793
ST3GAL6,95,28,92,152,65,32,5,255,529,156,298,286
STAT5A,3187,3394,4822,5294,2747,4124,3994,2494,3052,2405,1868,2687
STAU1,1296,1164,1137,751,806,911,1228,1975,1447,2040,1432,2001
STK19,172,192,213,231,197,182,217,146,142,115,161,154
STK38,682,866,748,1259,822,742,1099,2443,2685,1622,1953,3152
STK40,867,1685,689,1118,1104,1341,1862,2092,1632,1787,1986,2431
STON2,1483,539,732,648,341,437,530,19,109,7,15,108
STRBP,612,1162,951,762,1299,500,671,139,312,362,379,164
STX18,418,367,366,388,341,287,377,404,381,491,518,565
STX3,220,368,242,227,372,524,659,692,717,1209,1113,598
SULF2,194,107,45,289,67,197,56,2994,3840,2919,1491,5541
SUMF1,372,727,431,559,559,935,553,1362,1100,1065,715,1268
SUPT4H1,1012,1263,1500,1859,1560,1729,1169,3147,2994,2130,1735,3563
SUV39H2,228,75,335,402,131,172,114,40,65,66,53,36
SYK,2636,4618,2451,2532,3711,4622,4354,8839,7081,9423,9057,7000
SYNCRIP,3043,2524,4435,3531,3705,3203,2611,2890,2961,2260,2264,2377
SYNJ2,491,320,750,393,242,567,995,13,75,130,130,86
SYTL2,72,150,22,76,83,107,69,14,9,4,8,6
SYTL3,13,93,216,12,67,22,51,131,425,692,176,429
TADA1,222,254,319,289,338,203,225,141,270,145,126,211
TADA3,415,1581,1016,441,934,938,1351,1809,1067,2395,3090,1778
TARS,2497,1644,3044,2666,2357,2308,2634,1580,2040,1473,1361,1244
TBC1D1,1618,2107,1232,1724,1711,2257,1934,3469,3104,3293,4906,4814
TBC1D19,72,83,218,124,145,73,95,40,65,35,38,22
TBC1D9,1,68,114,2,46,10,1,838,671,404,493,161
TBCCD1,396,299,346,448,345,308,398,280,223,276,285,207
TCAF1,193,207,145,131,243,139,175,98,89,96,91,56
TCEAL4,949,724,1021,567,725,641,790,314,309,518,275,195
TCEANC,43,31,73,41,56,49,82,85,84,58,76,84
TCIRG1,1396,742,372,608,322,1009,1626,2253,2333,1986,2581,4448
TCP1,5099,3836,6326,5955,4962,5172,4167,4076,4712,3084,3413,3209
TDRD7,254,237,183,315,239,475,451,953,683,708,1219,758
TESPA1,1497,1511,2183,283,1551,1381,2295,107,428,42,145,150
TEX10,1071,461,1279,1513,831,699,797,282,371,232,244,327
TEX2,359,629,762,866,441,588,697,2115,1664,2320,2730,548
TEX264,941,735,517,822,601,1048,938,932,838,1306,1131,1019
TEX30,749,532,956,622,1090,879,506,159,327,117,76,141
TFB2M,591,253,593,766,449,498,441,247,371,124,201,155
TFDP2,2388,2764,3405,767,2114,1429,2444,144,729,374,227,435
TFEB,99,519,59,36,260,122,527,980,755,1085,1542,2021
TGIF1,107,225,385,745,406,304,294,854,1291,475,645,1244
TGOLN2,3088,6074,3234,3207,5197,5233,4120,10837,10433,6320,6060,7655
THEMIS2,354,1390,386,1197,1101,621,1340,4387,4137,3642,3671,6896
THG1L,406,358,403,484,417,394,350,248,347,246,263,370
THNSL1,184,99,300,344,191,188,245,46,66,16,44,4
THUMPD2,362,118,284,264,242,215,262,144,99,111,116,104
TIE1,437,761,1323,685,442,624,514,35,139,230,35,84
TIGAR,67,110,87,69,131,245,74,521,442,214,240,623
TIRAP,120,88,56,96,81,78,106,171,99,239,246,276
TLE4,764,622,76,777,541,914,392,1538,1311,1039,1406,1930
TLN1,5110,14233,4212,1419,4862,6783,10552,11658,8365,17639,13118,19185
TLR2,281,393,44,431,469,549,164,5546,7749,1407,1419,3237
TLR5,1,7,5,35,6,44,25,1208,949,282,233,445
TLR6,140,178,145,246,291,226,140,747,936,261,304,523
TM6SF1,6,16,150,120,24,90,47,409,414,488,169,395
TMBIM6,7041,10910,11690,13475,11984,14997,10327,30470,28093,15374,12679,17462
TMEM127,1071,1661,685,1152,1125,1543,1271,4085,3318,2290,2182,4684
TMEM138,249,140,162,272,213,285,222,312,326,216,286,291
TMEM150B,40,48,37,5,28,18,66,117,112,286,184,270
TMEM182,117,121,257,82,247,160,91,53,98,36,48,20
TMEM2,267,54,118,35,39,73,109,245,318,325,286,506
TMEM220-AS1,21,77,37,56,59,54,47,6,2,11,9,11
TMEM229B,320,100,178,72,117,299,233,359,270,234,216,419
TMEM237,130,118,198,86,167,155,107,40,63,70,83,66
TMEM41A,441,460,376,341,250,170,181,227,178,176,245,314
TMEM44,359,299,263,213,192,331,482,119,81,171,105,22
TMEM57,726,726,611,484,760,400,642,471,523,327,442,442
TMEM63B,41,64,106,38,44,41,45,187,179,295,244,305
TMEM64,554,332,753,839,711,247,151,83,384,24,31,48
TMSB10,9123,16628,14101,17347,12303,15735,16891,41302,36763,33549,23874,64631
TMSB4X,4111,7539,13466,24988,15584,12099,5332,89735,56230,23129,25650,59228
TNFAIP8L2,186,195,292,701,176,689,784,761,567,767,759,694
TNFRSF4,46,240,186,60,63,618,1108,0,27,3,4,16
TNFSF10,95,140,325,45,265,153,110,3747,6720,1638,1698,3180
TNFSF13,226,375,154,250,253,465,245,894,562,768,397,657
TNFSF4,304,309,548,558,746,1346,1248,208,413,302,168,31
TNIP2,304,374,249,225,256,425,460,533,461,382,547,747
TNNI2,14,121,8,3,107,154,62,119,149,250,57,176
TOR1B,377,374,325,313,355,640,537,948,654,630,571,956
TPM3,8659,14288,17858,15133,15727,19250,14682,28618,25463,21119,16435,24448
TPSAB1,74,764,1052,1139,379,142,112,0,35,5,221,15
TRAF3IP2,632,993,308,491,882,915,940,128,280,525,354,205
TRAF3IP3,949,1756,954,1037,1416,1304,1897,1822,1783,2019,2581,3326
